시군구별,지체,시각,청각,언어,지적,자폐
경상북도 의성군,2527,466,1702,28,490,16
경상북도 청송군,1235,241,761,13,175,2
경상북도 영양군,809,137,549,8,165,9
경상북도 영덕군,1717,392,760,19,239,13
경상북도 청도군,1825,344,1137,33,330,17
경상북도 고령군,1313,242,886,14,286,5
경상북도 성주군,1704,312,1009,32,354,19
경상북도 칠곡군,2657,573,1409,72,751,71
경상북도 예천군,2346,417,1262,30,434,30
경상북도 봉화군,1499,264,744,20,245,13
경상북도 울진군,1981,389,625,21,363,27
경상북도 울릉군,281,56,104,2,28,2
경상남도 통합창원시,23795,4555,7059,414,3874,867
경상남도 진주시,8265,1621,2418,187,1674,260
경상남도 통영시,3745,771,879,74,649,78
경상남도 사천시,3536,686,889,69,763,79
경상남도 김해시,11967,2223,3296,205,2194,509
경상남도 밀양시,3759,760,2002,43,759,54
경상남도 거제시,5957,949,1188,127,1147,216
경상남도 양산시,7242,1606,2523,158,1508,282
경상남도 의령군,1250,265,505,17,371,9
경상남도 함안군,2494,406,818,40,396,51
경상남도 창녕군,2353,440,1156,45,472,25
경상남도 고성군,2319,414,625,22,398,33
경상남도 남해군,2006,396,707,35,367,17
경상남도 하동군,2232,399,615,22,387,24
경상남도 산청군,1666,285,567,32,329,22
경상남도 함양군,1750,333,686,27,297,20
경상남도 거창군,2427,433,839,29,426,35
경상남도 합천군,2071,395,1048,31,398,17
제주특별자치도 제주시,9471,2831,4733,318,2577,598
제주특별자치도 서귀포시,4637,1266,2124,103,1071,179
