"태백시","시각",304
"태백시","청각",794
"속초시","시각",524
"속초시","청각",778
"삼척시","시각",496
"삼척시","청각",852
"홍천군","시각",484
"홍천군","청각",671
"횡성군","시각",342
"횡성군","청각",577
"영월군","시각",282
"영월군","청각",426
"평창군","시각",287
"평창군","청각",500
"정선군","시각",257
"정선군","청각",517
"철원군","시각",261
"철원군","청각",445
"화천군","시각",158
"화천군","청각",236
"양구군","시각",165
"양구군","청각",203
"인제군","시각",204
"인제군","청각",278
"고성군","시각",210
"고성군","청각",412
"양양군","시각",192
"양양군","청각",398
"충청북도","시각",8793
"충청북도","청각",14333
"청주시","시각",3735
"청주시","청각",5648
"충주시","시각",1361
"충주시","청각",2297
"제천시","시각",830
"제천시","청각",1205
"보은군","시각",285
"보은군","청각",616
"옥천군","시각",418
"옥천군","청각",940
"영동군","시각",412
"영동군","청각",700
"진천군","시각",441
"진천군","청각",626
"괴산군","시각",302
"괴산군","청각",679
"음성군","시각",560
"음성군","청각",887
"단양군","시각",245
"단양군","청각",340
"증평군","시각",204
"증평군","청각",395
"충청남도","시각",12146
"충청남도","청각",23128
"천안시","시각",2757
"천안시","청각",4173
"공주시","시각",695
"공주시","청각",1324
"보령시","시각",724
"보령시","청각",1387
"아산시","시각",1634
"아산시","청각",2514
"서산시","시각",924
"서산시","청각",1874
"논산시","시각",803
"논산시","청각",1780
"계룡시","시각",147
"계룡시","청각",245
"당진시","시각",996
"당진시","청각",1774
"금산군","시각",382
"금산군","청각",840
"부여군","시각",541
"부여군","청각",1283
"서천군","시각",455
"서천군","청각",914
"청양군","시각",262
"청양군","청각",740
"홍성군","시각",642
"홍성군","청각",1558
"예산군","시각",724
"예산군","청각",1785
"태안군","시각",460
"태안군","청각",937
"전라북도","시각",11058
"전라북도","청각",21065
"전주시","시각",2947
"전주시","청각",4776
"군산시","시각",1553
"군산시","청각",2464
"익산시","시각",1827
"익산시","청각",3708
"정읍시","시각",874
"정읍시","청각",1523
"남원시","시각",617
"남원시","청각",1401
"김제시","시각",686
"김제시","청각",1749
"완주군","시각",588
"완주군","청각",1279
"진안군","시각",234
"진안군","청각",514
"무주군","시각",201
"무주군","청각",424
"장수군","시각",164
"장수군","청각",428
"임실군","시각",231
"임실군","청각",544
"순창군","시각",233
"순창군","청각",565
"고창군","시각",507
"고창군","청각",859
"부안군","시각",396
"부안군","청각",831
"전라남도","시각",13412
"전라남도","청각",20280
"목포시","시각",1469
"목포시","청각",1506
"여수시","시각",1860
"여수시","청각",2752
"순천시","시각",1462
"순천시","청각",2331
"나주시","시각",788
"나주시","청각",1125
"광양시","시각",722
"광양시","청각",1030
"담양군","시각",364
"담양군","청각",707
"곡성군","시각",270
"곡성군","청각",596
"구례군","시각",255
"구례군","청각",483
"고흥군","시각",731
"고흥군","청각",1035
"보성군","시각",396
"보성군","청각",800
"화순군","시각",516
"화순군","청각",963
"장흥군","시각",345
"장흥군","청각",578
"강진군","시각",311
"강진군","청각",506
"해남군","시각",628
"해남군","청각",915
"영암군","시각",423
"영암군","청각",686
"무안군","시각",539
"무안군","청각",731
"함평군","시각",309
"함평군","청각",570
"영광군","시각",432
"영광군","청각",685
"장성군","시각",409
"장성군","청각",656
"완도군","시각",455
"완도군","청각",610
"진도군","시각",290
"진도군","청각",440
"신안군","시각",438
"신안군","청각",575
